FROM,TO,TRIPS
Land O Lakes  Connerton,Wesley Chapel  I-75 - SR56,1754
Land O Lakes  Connerton,Zephyrhills,150
NW Pasco,Citrus,113
NW Pasco,Dade City,56
NW Pasco,E New Port Richey,66
NW Pasco,External,179
NW Pasco,Hernando,3472
NW Pasco,Hillsborough  Manatee Spur,558
NW Pasco,Hudson,984
NW Pasco,I-75  SR 52,23
NW Pasco,Lacoochie Ind Area,0
NW Pasco,Land O Lakes  Connerton,107
NW Pasco,NW Pasco,5448
NW Pasco,New Port Richey,1084
NW Pasco,Pasco Central,1787
NW Pasco,Pasco East,129
NW Pasco,Pasco West,4102
NW Pasco,Pinellas,469
NW Pasco,San Antonio,13
NW Pasco,Seven Springs  Odessa,147
NW Pasco,Suncoast  SR 54,27
NW Pasco,Wesley Chapel  I-75 - SR56,72
NW Pasco,Zephyrhills,27
New Port Richey,Citrus,229
New Port Richey,Dade City,124
New Port Richey,E New Port Richey,2785
New Port Richey,External,1222
New Port Richey,Hernando,3682
New Port Richey,Hillsborough  Manatee Spur,5353
New Port Richey,Hudson,2057
New Port Richey,I-75  SR 52,67
New Port Richey,Lacoochie Ind Area,3
New Port Richey,Land O Lakes  Connerton,606
New Port Richey,NW Pasco,1084
New Port Richey,New Port Richey,95704
New Port Richey,Pasco Central,8011
New Port Richey,Pasco East,452
New Port Richey,Pasco West,45385
New Port Richey,Pinellas,10231
New Port Richey,San Antonio,48
New Port Richey,Seven Springs  Odessa,6982
New Port Richey,Suncoast  SR 54,364
New Port Richey,Wesley Chapel  I-75 - SR56,206
New Port Richey,Zephyrhills,60
Pasco Central,Citrus,348
Pasco Central,Dade City,481
Pasco Central,E New Port Richey,3117
Pasco Central,External,1802
Pasco Central,Hernando,17049
Pasco Central,Hillsborough  Manatee Spur,21114
Pasco Central,Hudson,3036
Pasco Central,I-75  SR 52,2138
Pasco Central,Lacoochie Ind Area,8
Pasco Central,Land O Lakes  Connerton,12502
Pasco Central,NW Pasco,1787
Pasco Central,New Port Richey,8011
Pasco Central,Pasco Central,59105
Pasco Central,Pasco East,5505
Pasco Central,Pasco West,18181
Pasco Central,Pinellas,5516
Pasco Central,San Antonio,413
Pasco Central,Seven Springs  Odessa,4821
Pasco Central,Suncoast  SR 54,3891
Pasco Central,Wesley Chapel  I-75 - SR56,4684
Pasco Central,Zephyrhills,570
Pasco East,Citrus,138
Pasco East,Dade City,14452
Pasco East,E New Port Richey,102
Pasco East,External,4388
Pasco East,Hernando,4708
Pasco East,Hillsborough  Manatee Spur,30350
Pasco East,Hudson,139
Pasco East,I-75  SR 52,2777
Pasco East,Lacoochie Ind Area,788
Pasco East,Land O Lakes  Connerton,5255
Pasco East,NW Pasco,129
Pasco East,New Port Richey,452
Pasco East,Pasco Central,5505
Pasco East,Pasco East,69681
Pasco East,Pasco West,844
Pasco East,Pinellas,2330
Pasco East,San Antonio,2121
Pasco East,Seven Springs  Odessa,321
Pasco East,Suncoast  SR 54,603
Pasco East,Wesley Chapel  I-75 - SR56,20400
Pasco East,Zephyrhills,25781
Pasco West,Citrus,484
Pasco West,Dade City,115
Pasco West,E New Port Richey,3641
Pasco West,External,1977
Pasco West,Hernando,6633
Pasco West,Hillsborough  Manatee Spur,11695
Pasco West,Hudson,12055
Pasco West,I-75  SR 52,148
Pasco West,Lacoochie Ind Area,10
Pasco West,Land O Lakes  Connerton,1024
Pasco West,NW Pasco,4102
Pasco West,New Port Richey,45385
Pasco West,Pasco Central,18181
Pasco West,Pasco East,844
Pasco West,Pasco West,139715
Pasco West,Pinellas,29995
Pasco West,San Antonio,102
Pasco West,Seven Springs  Odessa,17064
Pasco West,Suncoast  SR 54,577
Pasco West,Wesley Chapel  I-75 - SR56,576
Pasco West,Zephyrhills,148
Pinellas,Citrus,0
Pinellas,Dade City,198
Pinellas,E New Port Richey,658
Pinellas,External,0
Pinellas,Hernando,0
Pinellas,Hillsborough  Manatee Spur,0
Pinellas,Hudson,610
Pinellas,I-75  SR 52,195
Pinellas,Lacoochie Ind Area,9
Pinellas,Land O Lakes  Connerton,1103
Pinellas,NW Pasco,469
Pinellas,New Port Richey,10231
Pinellas,Pasco Central,5516
Pinellas,Pasco East,2330
Pinellas,Pasco West,29995
Pinellas,Pinellas,0
Pinellas,San Antonio,131
Pinellas,Seven Springs  Odessa,10958
Pinellas,Suncoast  SR 54,956
Pinellas,Wesley Chapel  I-75 - SR56,1362
Pinellas,Zephyrhills,610
San Antonio,Citrus,28
San Antonio,Dade City,1523
San Antonio,E New Port Richey,24
San Antonio,External,508
San Antonio,Hernando,333
San Antonio,Hillsborough  Manatee Spur,738
San Antonio,Hudson,3
San Antonio,I-75  SR 52,319
San Antonio,Lacoochie Ind Area,6
San Antonio,Land O Lakes  Connerton,69
San Antonio,NW Pasco,13
San Antonio,New Port Richey,48
San Antonio,Pasco Central,413
San Antonio,Pasco East,2121
San Antonio,Pasco West,102
San Antonio,Pinellas,131
San Antonio,San Antonio,2581
San Antonio,Seven Springs  Odessa,9
San Antonio,Suncoast  SR 54,6
San Antonio,Wesley Chapel  I-75 - SR56,441
San Antonio,Zephyrhills,598
Seven Springs  Odessa,Citrus,51
