FROM,TO,TRIPS
South East Citrus,South East Citrus,8187
South East Citrus,Spring Hill and SW Hernando,243
Spring Hill and SW Hernando,Brooksville Area,9287
Spring Hill and SW Hernando,Croom WMA  NE Hernando,1019
Spring Hill and SW Hernando,Crystal River and NW Citrus,438
Spring Hill and SW Hernando,External,2829
Spring Hill and SW Hernando,Hillsborough  Manatee Spur,8045
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,1925
Spring Hill and SW Hernando,Inverness and NE Citrus,198
Spring Hill and SW Hernando,Lake Lindsey  N. Central Hernando,1018
Spring Hill and SW Hernando,NW Hernando,8998
Spring Hill and SW Hernando,North Central Citrus,328
Spring Hill and SW Hernando,Pasco,30528
Spring Hill and SW Hernando,Pinellas,2921
Spring Hill and SW Hernando,Richloam WMA and E Hernando,492
Spring Hill and SW Hernando,South Central Hernando,9978
Spring Hill and SW Hernando,South East Citrus,243
Spring Hill and SW Hernando,Spring Hill and SW Hernando,204647
