FROM,TO,TRIPS
Pinellas,Spring Hill and SW Hernando,1475
Richloam WMA and E Hernando,Brooksville Area,53
Richloam WMA and E Hernando,Croom WMA  NE Hernando,0
Richloam WMA and E Hernando,Crystal River and NW Citrus,0
Richloam WMA and E Hernando,External,133
Richloam WMA and E Hernando,Hillsborough  Manatee Spur,2323
Richloam WMA and E Hernando,Homosassa Springs  SW Citrus,0
Richloam WMA and E Hernando,Inverness and NE Citrus,0
Richloam WMA and E Hernando,Lake Lindsey  N. Central Hernando,0
Richloam WMA and E Hernando,NW Hernando,0
Richloam WMA and E Hernando,North Central Citrus,0
Richloam WMA and E Hernando,Pasco,3632
Richloam WMA and E Hernando,Pinellas,0
Richloam WMA and E Hernando,Richloam WMA and E Hernando,8079
Richloam WMA and E Hernando,South Central Hernando,40
Richloam WMA and E Hernando,South East Citrus,0
Richloam WMA and E Hernando,Spring Hill and SW Hernando,98
South Central Hernando,Brooksville Area,5446
South Central Hernando,Croom WMA  NE Hernando,0
South Central Hernando,Crystal River and NW Citrus,153
South Central Hernando,External,143
South Central Hernando,Hillsborough  Manatee Spur,2549
South Central Hernando,Homosassa Springs  SW Citrus,98
South Central Hernando,Inverness and NE Citrus,0
South Central Hernando,Lake Lindsey  N. Central Hernando,0
South Central Hernando,NW Hernando,757
South Central Hernando,North Central Citrus,0
South Central Hernando,Pasco,3722
South Central Hernando,Pinellas,0
South Central Hernando,Richloam WMA and E Hernando,40
South Central Hernando,South Central Hernando,3395
South Central Hernando,South East Citrus,0
South Central Hernando,Spring Hill and SW Hernando,7601
South East Citrus,Brooksville Area,0
South East Citrus,Croom WMA  NE Hernando,0
South East Citrus,Crystal River and NW Citrus,3651
South East Citrus,External,626
South East Citrus,Hillsborough  Manatee Spur,4046
South East Citrus,Homosassa Springs  SW Citrus,40
South East Citrus,Inverness and NE Citrus,20548
South East Citrus,Lake Lindsey  N. Central Hernando,0
South East Citrus,NW Hernando,0
South East Citrus,North Central Citrus,7328
South East Citrus,Pasco,0
South East Citrus,Pinellas,0
South East Citrus,Richloam WMA and E Hernando,0
South East Citrus,South Central Hernando,0
South East Citrus,South East Citrus,10996
South East Citrus,Spring Hill and SW Hernando,0
Spring Hill and SW Hernando,Brooksville Area,20775
Spring Hill and SW Hernando,Croom WMA  NE Hernando,102
Spring Hill and SW Hernando,Crystal River and NW Citrus,821
Spring Hill and SW Hernando,External,1214
Spring Hill and SW Hernando,Hillsborough  Manatee Spur,4800
Spring Hill and SW Hernando,Homosassa Springs  SW Citrus,3277
Spring Hill and SW Hernando,Inverness and NE Citrus,0
Spring Hill and SW Hernando,Lake Lindsey  N. Central Hernando,4478
Spring Hill and SW Hernando,NW Hernando,13897
Spring Hill and SW Hernando,North Central Citrus,347
Spring Hill and SW Hernando,Pasco,25673
Spring Hill and SW Hernando,Pinellas,2404
Spring Hill and SW Hernando,Richloam WMA and E Hernando,139
Spring Hill and SW Hernando,South Central Hernando,8938
Spring Hill and SW Hernando,South East Citrus,0
Spring Hill and SW Hernando,Spring Hill and SW Hernando,229276
