ZONE,COUNTY,MODE,TRIPS
184,Hillsborough County,BIKE,122
184,Hillsborough County,TRANSIT,136
184,Hillsborough County,WALK,613
185,Hillsborough County,AUTO,5883
185,Hillsborough County,WALK,136
186,Hillsborough County,AUTO,1207
186,Hillsborough County,WALK,3865
187,Hillsborough County,AUTO,1154
187,Hillsborough County,TRANSIT,2477
188,Hillsborough County,AUTO,2374
190,Hillsborough County,AUTO,151
190,Hillsborough County,TRANSIT,687
191,Hillsborough County,AUTO,3114
191,Hillsborough County,WALK,6215
192,Hillsborough County,AUTO,1127
193,Hillsborough County,AUTO,2039
193,Hillsborough County,TRANSIT,1807
193,Hillsborough County,WALK,538
194,Hillsborough County,AUTO,27599
194,Hillsborough County,WALK,12859
195,Hillsborough County,AUTO,7534
196,Hillsborough County,AUTO,8704
196,Hillsborough County,WALK,894
197,Hillsborough County,AUTO,1204
197,Hillsborough County,TRANSIT,208
198,Hillsborough County,AUTO,2559
198,Hillsborough County,WALK,4256
199,Hillsborough County,AUTO,3146
200,Hillsborough County,AUTO,1293
200,Hillsborough County,WALK,218
201,Hillsborough County,AUTO,2954
201,Hillsborough County,TRANSIT,3523
201,Hillsborough County,WALK,3865
202,Hillsborough County,AUTO,5321
202,Hillsborough County,TRANSIT,6
202,Hillsborough County,WALK,40
203,Hillsborough County,AUTO,320
204,Hillsborough County,AUTO,5092
204,Hillsborough County,TRANSIT,2426
204,Hillsborough County,WALK,5675
205,Hillsborough County,AUTO,248
205,Hillsborough County,TRANSIT,18
206,Hillsborough County,AUTO,40
207,Hillsborough County,AUTO,119
208,Hillsborough County,AUTO,292
209,Hillsborough County,AUTO,4438
209,Hillsborough County,BIKE,2804
209,Hillsborough County,TRANSIT,1076
210,Hillsborough County,AUTO,12618
210,Hillsborough County,WALK,1076
211,Hillsborough County,AUTO,3420
213,Hillsborough County,AUTO,3595
213,Hillsborough County,WALK,9424
214,Hillsborough County,AUTO,455
215,Hillsborough County,AUTO,6725
215,Hillsborough County,TRANSIT,59
216,Hillsborough County,AUTO,2832
217,Hillsborough County,AUTO,29488
218,Hillsborough County,AUTO,13382
219,Hillsborough County,AUTO,636
219,Hillsborough County,WALK,9
220,Hillsborough County,AUTO,4981
221,Hillsborough County,AUTO,1440
222,Hillsborough County,AUTO,1674
223,Hillsborough County,AUTO,3918
224,Hillsborough County,AUTO,9457
224,Hillsborough County,WALK,2169
225,Hillsborough County,AUTO,1423
225,Hillsborough County,BIKE,80
227,Hillsborough County,AUTO,80
228,Hillsborough County,AUTO,620
230,Hillsborough County,AUTO,334
232,Hillsborough County,AUTO,5290
233,Hillsborough County,AUTO,198
234,Hillsborough County,AUTO,1515
235,Hillsborough County,AUTO,200
236,Hillsborough County,AUTO,21577
237,Hillsborough County,AUTO,12045
238,Hillsborough County,AUTO,3040
238,Hillsborough County,TNC,98
238,Hillsborough County,WALK,98
239,Hillsborough County,AUTO,298
240,Hillsborough County,AUTO,662
240,Hillsborough County,WALK,2392
241,Hillsborough County,AUTO,5985
242,Hillsborough County,AUTO,3844
242,Hillsborough County,SCHOOL BUS,694
242,Hillsborough County,WALK,177
243,Hillsborough County,AUTO,38
243,Hillsborough County,TRANSIT,150
243,Hillsborough County,WALK,372
244,Hillsborough County,AUTO,4954
244,Hillsborough County,WALK,1935
245,Hillsborough County,AUTO,10043
245,Hillsborough County,WALK,4278
246,Hillsborough County,WALK,184
247,Hillsborough County,AUTO,2428
247,Hillsborough County,WALK,78
248,Hillsborough County,AUTO,202
248,Hillsborough County,WALK,37
249,Hillsborough County,AUTO,412
249,Hillsborough County,TRANSIT,18
250,Hillsborough County,AUTO,2048
251,Hillsborough County,AUTO,6921
251,Hillsborough County,TRANSIT,136
252,Hillsborough County,AUTO,284
253,Hillsborough County,AUTO,2251
254,Hillsborough County,AUTO,240
255,Hillsborough County,AUTO,9734
256,Hillsborough County,AUTO,1102
257,Hillsborough County,AUTO,16184
257,Hillsborough County,WALK,17760
258,Hillsborough County,AUTO,3317
258,Hillsborough County,WALK,3833
259,Hillsborough County,AUTO,13493
260,Hillsborough County,AUTO,11583
260,Hillsborough County,WALK,617
261,Hillsborough County,AUTO,2246
262,Hillsborough County,AUTO,2564
262,Hillsborough County,TRANSIT,136
262,Hillsborough County,WALK,136
263,Hillsborough County,AUTO,120
264,Hillsborough County,AUTO,2317
266,Hillsborough County,AUTO,241
267,Hillsborough County,AUTO,2961
268,Hillsborough County,AUTO,1498
269,Hillsborough County,AUTO,8639
270,Hillsborough County,AUTO,736
270,Hillsborough County,TRANSIT,148
271,Hillsborough County,AUTO,307
271,Hillsborough County,WALK,2828
272,Hillsborough County,AUTO,14357
272,Hillsborough County,WALK,96
273,Hillsborough County,AUTO,2672
274,Hillsborough County,AUTO,883
274,Hillsborough County,WALK,1438
275,Hillsborough County,AUTO,2755
276,Hillsborough County,AUTO,1777
276,Hillsborough County,WALK,40
277,Hillsborough County,AUTO,281
277,Hillsborough County,WALK,40
278,Hillsborough County,AUTO,246
279,Hillsborough County,AUTO,12239
279,Hillsborough County,WALK,371
280,Hillsborough County,AUTO,14370
280,Hillsborough County,WALK,44
281,Hillsborough County,AUTO,180
282,Hillsborough County,AUTO,779
284,Hillsborough County,AUTO,2482
284,Hillsborough County,WALK,197
286,Hillsborough County,AUTO,2596
286,Hillsborough County,OTHER,151
287,Hillsborough County,AUTO,1420
288,Hillsborough County,AUTO,24280
288,Hillsborough County,TRANSIT,684
288,Hillsborough County,WALK,1765
289,Hillsborough County,AUTO,4332
289,Hillsborough County,TRANSIT,269
289,Hillsborough County,WALK,1879
290,Hillsborough County,AUTO,1229
290,Hillsborough County,BIKE,18
290,Hillsborough County,WALK,293
291,Hillsborough County,AUTO,7039
291,Hillsborough County,SHUTTLE VANPOOL,40
291,Hillsborough County,WALK,186
292,Hillsborough County,AUTO,11612
292,Hillsborough County,WALK,6
293,Hillsborough County,AUTO,25546
293,Hillsborough County,OTHER,49
293,Hillsborough County,TNC,331
293,Hillsborough County,WALK,2568
294,Hillsborough County,AUTO,458
295,Hillsborough County,AUTO,886
295,Hillsborough County,WALK,15
296,Hillsborough County,AUTO,1487
296,Hillsborough County,TRANSIT,89
297,Hillsborough County,AUTO,12488
297,Hillsborough County,OTHER,29
297,Hillsborough County,TNC,1097
298,Hillsborough County,AUTO,3262
299,Hillsborough County,AUTO,17531
299,Hillsborough County,TRANSIT,25
299,Hillsborough County,WALK,2672
300,Hillsborough County,AUTO,10872
300,Hillsborough County,BIKE,5
300,Hillsborough County,OTHER,92
300,Hillsborough County,WALK,288
301,Hillsborough County,AUTO,2335
301,Hillsborough County,OTHER,1
301,Hillsborough County,WALK,2509
302,Hillsborough County,AUTO,31842
302,Hillsborough County,OTHER,2
302,Hillsborough County,SHUTTLE VANPOOL,1962
302,Hillsborough County,TRANSIT,1000
302,Hillsborough County,WALK,39722
303,Hillsborough County,AUTO,4408
303,Hillsborough County,TRANSIT,1493
304,Hillsborough County,AUTO,6726
304,Hillsborough County,TRANSIT,538
304,Hillsborough County,WALK,538
305,Hillsborough County,AUTO,478
305,Hillsborough County,TRANSIT,1011
306,Hillsborough County,AUTO,5227
307,Hillsborough County,AUTO,1999
307,Hillsborough County,SHUTTLE VANPOOL,72
307,Hillsborough County,TRANSIT,508
307,Hillsborough County,WALK,2765
308,Hillsborough County,AUTO,3660
308,Hillsborough County,BIKE,5
308,Hillsborough County,SHUTTLE VANPOOL,23
308,Hillsborough County,WALK,938
309,Hillsborough County,AUTO,11964
309,Hillsborough County,SHUTTLE VANPOOL,3
309,Hillsborough County,TNC,56
309,Hillsborough County,WALK,8783
310,Hillsborough County,AUTO,6771
310,Hillsborough County,TNC,569
310,Hillsborough County,WALK,2860
311,Hillsborough County,AUTO,8243
311,Hillsborough County,BIKE,18
311,Hillsborough County,WALK,4701
312,Hillsborough County,AUTO,671
312,Hillsborough County,WALK,169
313,Hillsborough County,AUTO,24746
313,Hillsborough County,BIKE,569
313,Hillsborough County,BIKE SHARE,44
313,Hillsborough County,OTHER,153
313,Hillsborough County,SHUTTLE VANPOOL,297
313,Hillsborough County,WALK,6708
314,Hillsborough County,AUTO,19298
314,Hillsborough County,BIKE,434
314,Hillsborough County,BIKE SHARE,9
314,Hillsborough County,OTHER,94
314,Hillsborough County,SHUTTLE VANPOOL,258
314,Hillsborough County,WALK,2204
315,Hillsborough County,AUTO,9517
315,Hillsborough County,BIKE,464
315,Hillsborough County,SHUTTLE VANPOOL,18
315,Hillsborough County,WALK,440
316,Hillsborough County,AUTO,2
316,Hillsborough County,WALK,89
317,Hillsborough County,AUTO,5426
317,Hillsborough County,BIKE,119
317,Hillsborough County,LONG DIST PASS,143
317,Hillsborough County,TRANSIT,119
317,Hillsborough County,WALK,7151
318,Hillsborough County,AUTO,18103
318,Hillsborough County,BIKE,863
318,Hillsborough County,WALK,89
319,Hillsborough County,AUTO,14742
319,Hillsborough County,WALK,11452
320,Hillsborough County,AUTO,24111
320,Hillsborough County,WALK,20906
321,Hillsborough County,AUTO,9209
322,Hillsborough County,AUTO,875
322,Hillsborough County,WALK,60
323,Hillsborough County,AUTO,17888
323,Hillsborough County,OTHER,98
323,Hillsborough County,TNC,101
323,Hillsborough County,WALK,197
324,Hillsborough County,AUTO,581
325,Hillsborough County,AUTO,10891
326,Hillsborough County,AUTO,22136
326,Hillsborough County,OTHER,107
326,Hillsborough County,SHUTTLE VANPOOL,769
326,Hillsborough County,WALK,5246
327,Hillsborough County,AUTO,6
327,Hillsborough County,WALK,894
328,Hillsborough County,AUTO,14012
329,Hillsborough County,AUTO,492
329,Hillsborough County,OTHER,113
329,Hillsborough County,TNC,14
329,Hillsborough County,TRANSIT,35
329,Hillsborough County,WALK,42
330,Hillsborough County,AUTO,17616
330,Hillsborough County,TRANSIT,142
331,Hillsborough County,AUTO,462
332,Hillsborough County,AUTO,310
332,Hillsborough County,WALK,45
333,Hillsborough County,AUTO,10260
333,Hillsborough County,WALK,27
334,Hillsborough County,AUTO,863
334,Hillsborough County,WALK,23
335,Hillsborough County,AUTO,4787
335,Hillsborough County,BIKE,2
335,Hillsborough County,SCHOOL BUS,3
335,Hillsborough County,WALK,5
337,Hillsborough County,AUTO,747
339,Hillsborough County,AUTO,137
340,Hillsborough County,AUTO,1892
341,Hillsborough County,AUTO,299
342,Hillsborough County,AUTO,378
343,Hillsborough County,AUTO,121
344,Hillsborough County,AUTO,1379
345,Hillsborough County,AUTO,965
346,Hillsborough County,AUTO,102
347,Hillsborough County,AUTO,195
347,Hillsborough County,BIKE,23
348,Hillsborough County,AUTO,1188
349,Hillsborough County,AUTO,158
349,Hillsborough County,TNC,159
350,Hillsborough County,AUTO,1412
351,Hillsborough County,AUTO,3668
351,Hillsborough County,WALK,1270
352,Hillsborough County,AUTO,3150
352,Hillsborough County,WALK,1270
353,Hillsborough County,AUTO,1858
354,Hillsborough County,AUTO,7265
354,Hillsborough County,SCHOOL BUS,81
354,Hillsborough County,TRANSIT,807
355,Hillsborough County,AUTO,532
355,Hillsborough County,SCHOOL BUS,18
356,Hillsborough County,AUTO,1252
358,Hillsborough County,AUTO,2312
358,Hillsborough County,OTHER,18
359,Hillsborough County,AUTO,2513
359,Hillsborough County,WALK,116
360,Hillsborough County,AUTO,391
361,Hillsborough County,AUTO,1855
361,Hillsborough County,TNC,40
362,Hillsborough County,AUTO,2447
362,Hillsborough County,SCHOOL BUS,162
362,Hillsborough County,TNC,101
362,Hillsborough County,WALK,3325
363,Hillsborough County,AUTO,994
364,Hillsborough County,AUTO,3060
364,Hillsborough County,TNC,101
364,Hillsborough County,WALK,79
365,Hillsborough County,TNC,118
366,Hillsborough County,AUTO,4323
366,Hillsborough County,SCHOOL BUS,79
