FROM,TO,TRIPS
Harney Canal,West Brandon,805
Harney Canal,Westshore  Rocky Point,510
Hernando  Citrus,Apollo Beach  Ruskin,0
Hernando  Citrus,CZ2,0
Hernando  Citrus,CZ4,0
Hernando  Citrus,Citrus Park,79
Hernando  Citrus,Downtown,150
Hernando  Citrus,East Town,0
Hernando  Citrus,External,0
Hernando  Citrus,Gibsonton,0
Hernando  Citrus,Harney Canal,0
Hernando  Citrus,Hernando  Citrus,0
Hernando  Citrus,MacDill AFB,85
Hernando  Citrus,Manatee Spur,0
Hernando  Citrus,NE Hilsborough,0
Hernando  Citrus,NW Hilsborough,7049
Hernando  Citrus,New Tampa,0
Hernando  Citrus,Pasco,0
Hernando  Citrus,Pinellas,0
Hernando  Citrus,Plant City Area,0
Hernando  Citrus,Port of Tampa  50th St Corridor,0
Hernando  Citrus,SE Hillsborough,150
Hernando  Citrus,SW Hillsborough,34
Hernando  Citrus,TPA  Anderson Rd,2575
Hernando  Citrus,Tampa Central,379
Hernando  Citrus,USF  Hosp  Busch,4178
Hernando  Citrus,West Brandon,33
Hernando  Citrus,Westshore  Rocky Point,139
MacDill AFB,Apollo Beach  Ruskin,99
MacDill AFB,CZ2,2420
MacDill AFB,CZ4,0
MacDill AFB,Citrus Park,0
MacDill AFB,Downtown,1999
MacDill AFB,East Town,0
MacDill AFB,External,0
MacDill AFB,Gibsonton,1
MacDill AFB,Harney Canal,151
MacDill AFB,Hernando  Citrus,60
MacDill AFB,MacDill AFB,12488
MacDill AFB,Manatee Spur,0
MacDill AFB,NE Hilsborough,1204
MacDill AFB,NW Hilsborough,4964
MacDill AFB,New Tampa,0
MacDill AFB,Pasco,2408
MacDill AFB,Pinellas,370
MacDill AFB,Plant City Area,0
MacDill AFB,Port of Tampa  50th St Corridor,0
MacDill AFB,SE Hillsborough,7302
MacDill AFB,SW Hillsborough,15015
MacDill AFB,TPA  Anderson Rd,33
MacDill AFB,Tampa Central,280
MacDill AFB,USF  Hosp  Busch,0
MacDill AFB,West Brandon,0
MacDill AFB,Westshore  Rocky Point,268
Manatee Spur,Apollo Beach  Ruskin,175
Manatee Spur,CZ2,0
Manatee Spur,CZ4,0
Manatee Spur,Citrus Park,0
Manatee Spur,Downtown,0
Manatee Spur,East Town,0
Manatee Spur,External,0
Manatee Spur,Gibsonton,230
Manatee Spur,Harney Canal,0
Manatee Spur,Hernando  Citrus,0
Manatee Spur,MacDill AFB,0
Manatee Spur,Manatee Spur,0
Manatee Spur,NE Hilsborough,0
Manatee Spur,NW Hilsborough,0
