FROM,TO,Trips
SEAtlanta,Atlanta-DeKalb,1
SEAtlanta,Buckhead,2
SEAtlanta,CBDAtlanta,13
SEAtlanta,Chamblee,1
SEAtlanta,Decatur,0
SEAtlanta,NEAtlanta,15
SEAtlanta,NEDeKalb,0
SEAtlanta,NFulton,0
SEAtlanta,NWAtlanta,3
SEAtlanta,NWDeKalb,0
SEAtlanta,Roswell,0
SEAtlanta,SDeKalb,1
SEAtlanta,SEAtlanta,22
SEAtlanta,SEDeKalb,1
SEAtlanta,SFulton,0
SEAtlanta,SWAtlanta,16
SEAtlanta,SWDeKalb,1
SEAtlanta,SandySprings,3
SEAtlanta,Shannon,2
SEAtlanta,Tri-Cities,8
SEDeKalb,Atlanta-DeKalb,0
SEDeKalb,Buckhead,2
SEDeKalb,CBDAtlanta,6
SEDeKalb,Chamblee,1
SEDeKalb,Decatur,0
SEDeKalb,NEAtlanta,1
SEDeKalb,NEDeKalb,4
SEDeKalb,NFulton,2
SEDeKalb,NWAtlanta,1
SEDeKalb,NWDeKalb,2
SEDeKalb,Roswell,0
SEDeKalb,SDeKalb,0
SEDeKalb,SEAtlanta,0
SEDeKalb,SEDeKalb,18
SEDeKalb,SFulton,0
SEDeKalb,SWAtlanta,2
SEDeKalb,SWDeKalb,16
SEDeKalb,SandySprings,0
SEDeKalb,Shannon,2
SEDeKalb,Tri-Cities,0
SFulton,Atlanta-DeKalb,0
SFulton,Buckhead,0
SFulton,CBDAtlanta,2
SFulton,Chamblee,2
SFulton,Decatur,0
SFulton,NEAtlanta,2
SFulton,NEDeKalb,0
SFulton,NFulton,0
SFulton,NWAtlanta,1
SFulton,NWDeKalb,1
SFulton,Roswell,0
SFulton,SDeKalb,0
SFulton,SEAtlanta,0
SFulton,SEDeKalb,0
SFulton,SFulton,0
SFulton,SWAtlanta,2
SFulton,SWDeKalb,0
SFulton,SandySprings,0
SFulton,Shannon,2
SFulton,Tri-Cities,2
SWAtlanta,Atlanta-DeKalb,0
SWAtlanta,Buckhead,9
SWAtlanta,CBDAtlanta,11
SWAtlanta,Chamblee,4
SWAtlanta,Decatur,0
SWAtlanta,NEAtlanta,6
SWAtlanta,NEDeKalb,2
SWAtlanta,NFulton,2
SWAtlanta,NWAtlanta,28
SWAtlanta,NWDeKalb,0
SWAtlanta,Roswell,0
SWAtlanta,SDeKalb,0
SWAtlanta,SEAtlanta,13
SWAtlanta,SEDeKalb,1
SWAtlanta,SFulton,2
SWAtlanta,SWAtlanta,78
SWAtlanta,SWDeKalb,2
SWAtlanta,SandySprings,3
SWAtlanta,Shannon,3
SWAtlanta,Tri-Cities,12
SWDeKalb,Atlanta-DeKalb,5
SWDeKalb,Buckhead,2
SWDeKalb,CBDAtlanta,14
SWDeKalb,Chamblee,2
SWDeKalb,Decatur,3
SWDeKalb,NEAtlanta,11
SWDeKalb,NEDeKalb,7
SWDeKalb,NFulton,0
SWDeKalb,NWAtlanta,0
SWDeKalb,NWDeKalb,11
SWDeKalb,Roswell,0
SWDeKalb,SDeKalb,3
SWDeKalb,SEAtlanta,2
SWDeKalb,SEDeKalb,11
SWDeKalb,SFulton,0
SWDeKalb,SWAtlanta,1
SWDeKalb,SWDeKalb,44
SWDeKalb,SandySprings,3
SWDeKalb,Shannon,0
SWDeKalb,Tri-Cities,2
SandySprings,Atlanta-DeKalb,0
SandySprings,Buckhead,12
SandySprings,CBDAtlanta,18
SandySprings,Chamblee,9
SandySprings,Decatur,0
SandySprings,NEAtlanta,12
SandySprings,NEDeKalb,2
SandySprings,NFulton,10
SandySprings,NWAtlanta,0
