FROM,TO,Trips
SDeKalb,SWDeKalb,280.48
SDeKalb,SandySprings,44.49
SDeKalb,Shannon,17.63
SDeKalb,Tri-Cities,124.61
SEAtlanta,Atlanta-DeKalb,157.3
SEAtlanta,Buckhead,584.13
SEAtlanta,CBDAtlanta,1457.22
SEAtlanta,Chamblee,231.89
SEAtlanta,Decatur,61.29
SEAtlanta,NEAtlanta,879.29
SEAtlanta,NEDeKalb,162.33
SEAtlanta,NFulton,52.61
SEAtlanta,NWAtlanta,554.08
SEAtlanta,NWDeKalb,248.78
SEAtlanta,Roswell,10.34
SEAtlanta,SDeKalb,53
SEAtlanta,SEAtlanta,2030.9
SEAtlanta,SEDeKalb,91.45
SEAtlanta,SFulton,55.22
SEAtlanta,SWAtlanta,1186.72
SEAtlanta,SWDeKalb,293.68
SEAtlanta,SandySprings,205.74
SEAtlanta,Shannon,129.14
SEAtlanta,Tri-Cities,1076.8
SEDeKalb,Atlanta-DeKalb,26.48
SEDeKalb,Buckhead,209.36
SEDeKalb,CBDAtlanta,607.15
SEDeKalb,Chamblee,161.51
SEDeKalb,Decatur,107.18
SEDeKalb,NEAtlanta,249.25
SEDeKalb,NEDeKalb,410.48
SEDeKalb,NFulton,22.24
SEDeKalb,NWAtlanta,214.59
SEDeKalb,NWDeKalb,286.87
SEDeKalb,Roswell,4.7
SEDeKalb,SDeKalb,138.73
SEDeKalb,SEAtlanta,66.04
SEDeKalb,SEDeKalb,986.66
SEDeKalb,SFulton,15.22
SEDeKalb,SWAtlanta,122.78
SEDeKalb,SWDeKalb,419.28
SEDeKalb,SandySprings,99.33
SEDeKalb,Shannon,6.47
SEDeKalb,Tri-Cities,269.43
SFulton,Atlanta-DeKalb,12.92
SFulton,Buckhead,81.64
SFulton,CBDAtlanta,140.24
SFulton,Chamblee,108.07
SFulton,Decatur,13.53
SFulton,NEAtlanta,164.64
SFulton,NEDeKalb,15.17
SFulton,NFulton,46.2
SFulton,NWAtlanta,85.21
SFulton,NWDeKalb,25
SFulton,Roswell,6.58
SFulton,SDeKalb,9.98
SFulton,SEAtlanta,83.38
SFulton,SEDeKalb,17.63
SFulton,SFulton,83
SFulton,SWAtlanta,95.04
SFulton,SWDeKalb,25.53
SFulton,SandySprings,43.87
SFulton,Shannon,48.97
SFulton,Tri-Cities,291.21
SWAtlanta,Atlanta-DeKalb,152.9
SWAtlanta,Buckhead,915.35
SWAtlanta,CBDAtlanta,2294.86
SWAtlanta,Chamblee,514.57
SWAtlanta,Decatur,68.72
SWAtlanta,NEAtlanta,1387.05
SWAtlanta,NEDeKalb,193.71
SWAtlanta,NFulton,84.4
SWAtlanta,NWAtlanta,2162.46
SWAtlanta,NWDeKalb,269.97
SWAtlanta,Roswell,55.71
SWAtlanta,SDeKalb,73.79
SWAtlanta,SEAtlanta,1324.07
SWAtlanta,SEDeKalb,121.93
SWAtlanta,SFulton,182.13
SWAtlanta,SWAtlanta,5293.03
SWAtlanta,SWDeKalb,251.26
SWAtlanta,SandySprings,329.1
SWAtlanta,Shannon,212.5
SWAtlanta,Tri-Cities,2105.25
SWDeKalb,Atlanta-DeKalb,311.79
SWDeKalb,Buckhead,318.63
SWDeKalb,CBDAtlanta,1330.57
SWDeKalb,Chamblee,233.67
SWDeKalb,Decatur,292.37
SWDeKalb,NEAtlanta,587.61
SWDeKalb,NEDeKalb,538.31
SWDeKalb,NFulton,43.84
SWDeKalb,NWAtlanta,354.65
SWDeKalb,NWDeKalb,351.97
SWDeKalb,Roswell,9.26
SWDeKalb,SDeKalb,427.55
SWDeKalb,SEAtlanta,323.32
SWDeKalb,SEDeKalb,572.45
SWDeKalb,SFulton,36.27
SWDeKalb,SWAtlanta,284.08
SWDeKalb,SWDeKalb,1385.14
SWDeKalb,SandySprings,205.35
SWDeKalb,Shannon,66.34
SWDeKalb,Tri-Cities,339.32
SandySprings,Atlanta-DeKalb,44.5
SandySprings,Buckhead,972.79
SandySprings,CBDAtlanta,1147.73
SandySprings,Chamblee,405.49
SandySprings,Decatur,15.09
SandySprings,NEAtlanta,1441.69
SandySprings,NEDeKalb,146.32
SandySprings,NFulton,258.13
SandySprings,NWAtlanta,419.06
SandySprings,NWDeKalb,137.31
SandySprings,Roswell,184.99
SandySprings,SDeKalb,86.81
SandySprings,SEAtlanta,199.58
SandySprings,SEDeKalb,139.01
SandySprings,SFulton,156.55
SandySprings,SWAtlanta,321.67
SandySprings,SWDeKalb,173.13
SandySprings,SandySprings,929.06
SandySprings,Shannon,165.95
SandySprings,Tri-Cities,863.76
Shannon,Atlanta-DeKalb,1
Shannon,Buckhead,156.02
Shannon,CBDAtlanta,239.56
Shannon,Chamblee,145.64
Shannon,NEAtlanta,166.56
Shannon,NEDeKalb,22.09
Shannon,NFulton,24.6
Shannon,NWAtlanta,98.14
Shannon,NWDeKalb,45.65
Shannon,Roswell,3.22
Shannon,SDeKalb,11.79
Shannon,SEAtlanta,115.44
Shannon,SEDeKalb,27.45
Shannon,SFulton,26.7
Shannon,SWAtlanta,181.02
Shannon,SWDeKalb,39.45
Shannon,SandySprings,106.24
Shannon,Shannon,614.05
Shannon,Tri-Cities,603.82
Tri-Cities,Atlanta-DeKalb,118.83
Tri-Cities,Buckhead,1192.08
Tri-Cities,CBDAtlanta,1824.53
Tri-Cities,Chamblee,920.91
Tri-Cities,Decatur,69.88
Tri-Cities,NEAtlanta,1596.32
Tri-Cities,NEDeKalb,348.98
Tri-Cities,NFulton,329.24
Tri-Cities,NWAtlanta,818.49
Tri-Cities,NWDeKalb,214.99
Tri-Cities,Roswell,105.4
Tri-Cities,SDeKalb,140.71
Tri-Cities,SEAtlanta,1425.82
Tri-Cities,SEDeKalb,242.3
Tri-Cities,SFulton,311.8
Tri-Cities,SWAtlanta,2167.05
Tri-Cities,SWDeKalb,449.34
Tri-Cities,SandySprings,780.44
Tri-Cities,Shannon,683.81
Tri-Cities,Tri-Cities,3513.77
