ROUTE_SURVEYED,TIME_ON,COUNT,CHART_TYPE
MARTA 181,AM2 5:00 am - 6:00 am,141.36,ROUTE SURVEYED BY TIME PERIOD
CobbLINC ROUTE 10,PM2 4:00 pm - 5:00 pm,141.35,ROUTE SURVEYED BY TIME PERIOD
MARTA 121,AM4 7:00 am - 8:00 am,140.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,AM4 7:00 am - 8:00 am,140.82,ROUTE SURVEYED BY TIME PERIOD
MARTA 116,PM1 3:00 pm - 4:00 pm,140.58,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM3 5:00 pm - 6:00 pm,138.92,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,AM5 8:00 am - 9:00 am,138.11,ROUTE SURVEYED BY TIME PERIOD
MARTA 115,AM2 5:00 am - 6:00 am,137.88,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM4 6:00 pm - 7:00 pm,137.86,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,AM2 5:00 am - 6:00 am,137.68,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,AM3 6:00 am - 7:00 am,137.41,ROUTE SURVEYED BY TIME PERIOD
MARTA 5,MID1 9:00 am - 10:00 am,137.31,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,PM1 3:00 pm - 4:00 pm,136.93,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,PM5 7:00 pm - 8:00 pm,136.51,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,MID1 9:00 am - 10:00 am,136.2,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,PM3 5:00 pm - 6:00 pm,135.98,ROUTE SURVEYED BY TIME PERIOD
MARTA 87,PM2 4:00 pm - 5:00 pm,135.97,ROUTE SURVEYED BY TIME PERIOD
MARTA 40,MID2 10:00 am - 11:00 am,135.95,ROUTE SURVEYED BY TIME PERIOD
MARTA 73,AM5 8:00 am - 9:00 am,135.37,ROUTE SURVEYED BY TIME PERIOD
MARTA 186,AM2 5:00 am - 6:00 am,135.27,ROUTE SURVEYED BY TIME PERIOD
MARTA 6,PM3 5:00 pm - 6:00 pm,135.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,MID6 2:00 pm - 3:00 pm,134.8,ROUTE SURVEYED BY TIME PERIOD
MARTA 19,MID1 9:00 am - 10:00 am,134.78,ROUTE SURVEYED BY TIME PERIOD
MARTA 110,MID1 9:00 am - 10:00 am,134.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 71,PM5 7:00 pm - 8:00 pm,134.75,ROUTE SURVEYED BY TIME PERIOD
MARTA 15,MID1 9:00 am - 10:00 am,134.38,ROUTE SURVEYED BY TIME PERIOD
MARTA 21,AM5 8:00 am - 9:00 am,133.49,ROUTE SURVEYED BY TIME PERIOD
MARTA 117,PM5 7:00 pm - 8:00 pm,132.73,ROUTE SURVEYED BY TIME PERIOD
MARTA 196,MID6 2:00 pm - 3:00 pm,131.93,ROUTE SURVEYED BY TIME PERIOD
SRTA 416,PM3 5:00 pm - 6:00 pm,131.21,ROUTE SURVEYED BY TIME PERIOD
MARTA 181,PM3 5:00 pm - 6:00 pm,131.01,ROUTE SURVEYED BY TIME PERIOD
MARTA 84,PM3 5:00 pm - 6:00 pm,130.76,ROUTE SURVEYED BY TIME PERIOD
SRTA 463,PM1 3:00 pm - 4:00 pm,130.23,ROUTE SURVEYED BY TIME PERIOD
MARTA 191,PM5 7:00 pm - 8:00 pm,129.39,ROUTE SURVEYED BY TIME PERIOD
MARTA 83,PM6 8:00 pm - 9:00 pm,129.31,ROUTE SURVEYED BY TIME PERIOD
